MEM_ALLOC_RATE,1436245446078,5583680
MEM_COMMITTED,1436245446078,746586112
MEM_MAX,1436245446078,5368709120
GC_TIME,1436245446078,224849
GC_COUNT,1436245446078,5047
MEM_USED,1436245447078,527959392
MEM_ALLOC_RATE,1436245447078,5279593
MEM_COMMITTED,1436245447078,746586112
MEM_MAX,1436245447078,5368709120
GC_TIME,1436245447078,224851
GC_COUNT,1436245447078,5048
MEM_USED,1436245448078,498599264
MEM_ALLOC_RATE,1436245448078,4985992
MEM_COMMITTED,1436245448078,746586112
MEM_MAX,1436245448078,5368709120
GC_TIME,1436245448078,224852
GC_COUNT,1436245448078,5049
MEM_USED,1436245449078,467146592
MEM_ALLOC_RATE,1436245449078,4671465
MEM_COMMITTED,1436245449078,746586112
MEM_MAX,1436245449078,5368709120
GC_TIME,1436245449078,224853
GC_COUNT,1436245449078,5050
MEM_USED,1436245450079,436737888
MEM_ALLOC_RATE,1436245450079,4367378
MEM_COMMITTED,1436245450079,746586112
MEM_MAX,1436245450079,5368709120
GC_TIME,1436245450079,224854
GC_COUNT,1436245450079,5051
MEM_USED,1436245451078,406329184
MEM_ALLOC_RATE,1436245451078,4063291
MEM_COMMITTED,1436245451078,746586112
MEM_MAX,1436245451078,5368709120
GC_TIME,1436245451078,224856
GC_COUNT,1436245451078,5052
MEM_USED,1436245452078,375920480
MEM_ALLOC_RATE,1436245452078,3759204
MEM_COMMITTED,1436245452078,746586112
MEM_MAX,1436245452078,5368709120
GC_TIME,1436245452078,224857
GC_COUNT,1436245452078,5053
MEM_USED,1436245453078,345509712
MEM_ALLOC_RATE,1436245453078,3455097
MEM_COMMITTED,1436245453078,746586112
MEM_MAX,1436245453078,5368709120
GC_TIME,1436245453078,224859
GC_COUNT,1436245453078,5054
MEM_USED,1436245454078,316151648
MEM_ALLOC_RATE,1436245454078,3161516
MEM_COMMITTED,1436245454078,746586112
MEM_MAX,1436245454078,5368709120
GC_TIME,1436245454078,224860
GC_COUNT,1436245454078,5055
MEM_USED,1436245455078,285740880
MEM_ALLOC_RATE,1436245455078,2857408
MEM_COMMITTED,1436245455078,746586112
MEM_MAX,1436245455078,5368709120
GC_TIME,1436245455078,224861
GC_COUNT,1436245455078,5056
MEM_USED,1436245456078,256382816
MEM_ALLOC_RATE,1436245456078,2563828
MEM_COMMITTED,1436245456078,746586112
MEM_MAX,1436245456078,5368709120
GC_TIME,1436245456078,224862
GC_COUNT,1436245456078,5057
MEM_USED,1436245457078,225972048
MEM_ALLOC_RATE,1436245457078,2259720
MEM_COMMITTED,1436245457078,746586112
MEM_MAX,1436245457078,5368709120
GC_TIME,1436245457078,224863
GC_COUNT,1436245457078,5058
MEM_USED,1436245458078,193468256
MEM_ALLOC_RATE,1436245458078,1934682
MEM_COMMITTED,1436245458078,746586112
MEM_MAX,1436245458078,5368709120
GC_TIME,1436245458078,224865
GC_COUNT,1436245458078,5059
MEM_USED,1436245459078,164106064
MEM_ALLOC_RATE,1436245459078,1641060
MEM_COMMITTED,1436245459078,746586112
MEM_MAX,1436245459078,5368709120
GC_TIME,1436245459078,224866
GC_COUNT,1436245459078,5060
MEM_USED,1436245460078,579342160
MEM_ALLOC_RATE,1436245460078,5793421
MEM_COMMITTED,1436245460078,746586112
MEM_MAX,1436245460078,5368709120
GC_TIME,1436245460078,224866
GC_COUNT,1436245460078,5060
MEM_USED,1436245461078,547886944
MEM_ALLOC_RATE,1436245461078,5478869
MEM_COMMITTED,1436245461078,746586112
MEM_MAX,1436245461078,5368709120
GC_TIME,1436245461078,224867
GC_COUNT,1436245461078,5061
